experiment,method,rep_index,sample_ms
p1d_range_plus_structural,tantivy_standalone,13,3.975429
p1d_range_plus_structural,tantivy_standalone,14,2.365201
p1d_range_plus_structural,tantivy_standalone,15,4.165394
p1d_range_plus_structural,tantivy_standalone,16,2.6208139999999998
p1d_range_plus_structural,tantivy_standalone,17,2.6069940000000003
p1d_range_plus_structural,tantivy_standalone,18,2.6861580000000003
p1d_range_plus_structural,tantivy_standalone,19,4.426698
p1d_range_plus_structural,tantivy_standalone,20,2.5689100000000002
p1d_range_plus_structural,tantivy_standalone,21,3.859621
p1d_range_plus_structural,tantivy_standalone,22,4.008856
p1d_range_plus_structural,tantivy_standalone,23,4.163435
p1d_range_plus_structural,tantivy_standalone,24,2.612531
p1d_range_plus_structural,tantivy_standalone,25,3.740736
p1d_range_plus_structural,tantivy_standalone,26,3.9899050000000003
p1d_range_plus_structural,tantivy_standalone,27,2.635647
p1d_range_plus_structural,tantivy_standalone,28,2.599666
p1d_range_plus_structural,tantivy_standalone,29,2.63673
p1d_range_plus_structural,solr,0,2.4592479999999997
p1d_range_plus_structural,solr,1,3.197767
p1d_range_plus_structural,solr,2,3.259138
p1d_range_plus_structural,solr,3,3.33503
p1d_range_plus_structural,solr,4,3.111112
p1d_range_plus_structural,solr,5,2.626169
p1d_range_plus_structural,solr,6,3.359486
p1d_range_plus_structural,solr,7,1.7909840000000001
p1d_range_plus_structural,solr,8,3.407803
p1d_range_plus_structural,solr,9,3.977573
p1d_range_plus_structural,solr,10,2.983212
p1d_range_plus_structural,solr,11,3.0856220000000003
p1d_range_plus_structural,solr,12,3.4237640000000003
p1d_range_plus_structural,solr,13,3.001041
p1d_range_plus_structural,solr,14,3.215239
p1d_range_plus_structural,solr,15,2.2606509999999997
p1d_range_plus_structural,solr,16,3.312101
p1d_range_plus_structural,solr,17,3.770026
p1d_range_plus_structural,solr,18,2.289235
p1d_range_plus_structural,solr,19,14.502988
p1d_range_plus_structural,solr,20,2.668104
p1d_range_plus_structural,solr,21,3.378516
p1d_range_plus_structural,solr,22,3.180876
p1d_range_plus_structural,solr,23,3.252471
p1d_range_plus_structural,solr,24,3.06264
p1d_range_plus_structural,solr,25,2.956037
p1d_range_plus_structural,solr,26,2.872898
p1d_range_plus_structural,solr,27,1.58235
p1d_range_plus_structural,solr,28,2.76889
p1d_range_plus_structural,solr,29,3.213775
