experiment,method,metric,n,mean,stddev,min,p10,p25,p50,p75,p90,p95,p99,max
p1d_structural_plus_lexical_residual,solr,latency_ms,30,3.9973240666666667,7.375653697943736,1.003145,1.4899267,1.81716575,2.0784605000000003,3.0901722499999997,3.6534458,10.053817449999968,33.365127620000024,40.80549
p1d_structural_plus_semantic_residual,commerce_native,latency_ms,30,6.2928543999999995,4.930256710802596,0.350452,0.44942730000000003,2.5669697499999997,4.557809499999999,11.2133505,13.7295602,14.427695,14.53379566,14.574959999999999
p1d_structural_plus_semantic_residual,tantivy_standalone,latency_ms,30,6.744495266666666,9.493148552930725,0.9697370000000001,1.1587311,1.2975349999999999,1.91885,8.439359,12.907931800000002,27.409240099999934,38.48485447,38.854911
p1d_structural_plus_semantic_residual,solr,latency_ms,30,1.6597693999999996,0.39463417008961255,0.874841,1.0932597000000002,1.461228,1.6935164999999999,1.9690797500000001,2.0714882,2.211733249999999,2.32509546,2.332411
p1d_lexical_first,commerce_native,latency_ms,30,5.927329633333333,7.354595439574313,0.227099,0.7591513000000001,1.64404675,3.4529275,6.740284,10.294836000000023,26.26448605,26.7762602,26.804802
p1d_lexical_first,tantivy_standalone,latency_ms,30,11.865501599999998,14.256270435970439,0.337228,0.8248633000000002,3.60385675,9.5995435,11.189366,23.542835100000033,43.35881165,58.09108732000002,64.013958
p1d_lexical_first,solr,latency_ms,30,1.9543752000000003,1.420803298938883,0.969704,1.1701153,1.57508675,1.7868425000000001,1.93335675,2.0528015,2.2116876999999993,7.269773240000005,9.284358
p1d_ambiguous_punt,commerce_native,latency_ms,30,6.346958799999999,4.822420410937318,0.70548,2.0600281,3.15484825,4.0619879999999995,8.99433225,14.8909414,15.365132299999999,17.237256470000002,17.947715
p1d_ambiguous_punt,tantivy_standalone,latency_ms,30,17.357275399999995,8.993256170822404,4.678181,6.367769,8.509538,18.31699,21.027214750000002,28.4703876,31.232889049999986,37.33448072,38.927749999999996
p1d_ambiguous_punt,solr,latency_ms,30,1.8773054999999996,0.777144467579593,0.952726,1.1274452000000001,1.57830775,1.7521970000000002,1.9431079999999998,2.208135700000002,3.722499049999997,4.367886820000001,4.437615
p1d_long_tail_noisy,commerce_native,latency_ms,30,3.3336898666666666,2.3642836399208305,0.32753699999999997,0.9296101,1.25992625,2.4875365,4.693316749999999,6.7397651000000005,7.678435499999999,8.272677680000001,8.440822
p1d_long_tail_noisy,tantivy_standalone,latency_ms,30,4.5397568333333345,3.234980655100792,0.397519,0.45232390000000006,2.47105375,3.7304190000000004,6.5119175,9.101365399999999,10.222416749999994,11.47136446,11.613704
p1d_long_tail_noisy,solr,latency_ms,30,1.2294279,0.23211690303503502,0.81785,0.9704481,1.034057,1.2367,1.40741,1.5594729,1.5976355999999998,1.61357084,1.616791
